id,user_id,client_id,invoice_id,date,hours,rate,description,is_billable,created_at,updated_at
1,1,2,,2025-01-09,1.00,150.00,Gables code review with Brennen (Part 1),1,2025-01-10 06:35:47,2025-01-10 06:35:47
2,1,2,,2025-01-09,0.50,150.00,Gables code review with Brennen (Part 2),1,2025-01-10 06:36:21,2025-01-10 06:36:21
3,1,2,,2025-01-10,0.50,150.00,Gables code review summary draft,1,2025-01-10 06:38:43,2025-01-10 06:38:43
4,1,2,,2025-01-07,1.00,150.00,Discovery call with Resi and Gables team,1,2025-01-10 06:42:31,2025-01-10 06:42:31
6,1,2,,2025-02-20,3.00,150.00,Dev meeting with Brennen/Tanner + Thursday Tea,1,2025-02-21 00:10:07,2025-02-22 03:44:27
7,1,2,,2025-02-20,5.00,150.00,"Resi v2 audit, ERD, and PR with application tests",1,2025-02-22 03:46:27,2025-02-22 03:48:11
8,1,2,,2025-02-21,1.50,150.00,Resi v2 architecture meetings with Brennen,1,2025-02-22 03:50:43,2025-02-22 03:50:43
9,1,2,,2025-02-21,1.50,150.00,In-depth audit for Resi Elements,1,2025-02-25 03:43:28,2025-02-25 03:43:46
10,1,2,,2025-02-25,3.00,150.00,Code analysis of Resi V2 schema and current roles/permissions/teams architecture to decide on implementation details,1,2025-02-25 03:46:39,2025-02-25 03:46:39
11,1,2,,2025-02-26,4.00,150.00,"Work on multitenancy, roles, and permissions for v2 with multiple panels",1,2025-02-28 04:11:42,2025-02-28 04:15:13
12,1,2,,2025-02-27,3.00,150.00,"Code review with Tanner, meeting with Brennen about the unified dashboard + Thursday Tea",1,2025-02-28 04:12:34,2025-02-28 04:15:54
13,1,2,,2025-02-28,6.00,150.00,Unified dashboard refactor and neighborhood audits plugin initial work on on authorization and v1 API,1,2025-02-28 22:46:40,2025-02-28 22:46:40
14,1,2,,2025-03-03,1.00,150.00,Audit of the v1 API on v2,1,2025-03-03 14:14:00,2025-03-03 14:14:00